id	ubigeo_id	gerente_id	codigo	nombre	direccion	email	telefono	coordenada_gps
1	1003		SUC-0001	Sucursal 1	Av. Principal 1 # 653	sucursal1@banco.com	97293212	"-6.694729, -73.994989"
2	1354		SUC-0002	Sucursal 2	Av. Principal 2 # 704	sucursal2@banco.com	93423570	"-15.421337, -72.611126"
3	836		SUC-0003	Sucursal 3	Av. Principal 3 # 907	sucursal3@banco.com	92169325	"-5.60976, -75.726377"
4	1191		SUC-0004	Sucursal 4	Av. Principal 4 # 880	sucursal4@banco.com	99956486	"-16.043198, -80.283"
5	88		SUC-0005	Sucursal 5	Av. Principal 5 # 411	sucursal5@banco.com	93970180	"-8.991103, -80.604309"
6	775		SUC-0006	Sucursal 6	Av. Principal 6 # 322	sucursal6@banco.com	92444783	"-16.676275, -68.308681"
7	886		SUC-0007	Sucursal 7	Av. Principal 7 # 121	sucursal7@banco.com	91446491	"-16.47135, -71.110321"
8	671		SUC-0008	Sucursal 8	Av. Principal 8 # 889	sucursal8@banco.com	92122694	"-6.841054, -79.566"
9	1171		SUC-0009	Sucursal 9	Av. Principal 9 # 496	sucursal9@banco.com	93015770	"-9.018726, -79.907754"
10	880		SUC-0010	Sucursal 10	Av. Principal 10 # 978	sucursal10@banco.com	91190711	"-5.806233, -71.624245"
11	312		SUC-0011	Sucursal 11	Av. Principal 11 # 679	sucursal11@banco.com	93457907	"-5.203401, -75.260763"
12	34		SUC-0012	Sucursal 12	Av. Principal 12 # 687	sucursal12@banco.com	98521647	"-9.918381, -68.242092"
13	1711		SUC-0013	Sucursal 13	Av. Principal 13 # 322	sucursal13@banco.com	91483222	"-11.983866, -70.57"
14	1268		SUC-0014	Sucursal 14	Av. Principal 14 # 854	sucursal14@banco.com	97997203	"-14.839181, -75.049908"
15	1189		SUC-0015	Sucursal 15	Av. Principal 15 # 768	sucursal15@banco.com	94533375	"-15.053348, -68.24771"
16	467		SUC-0016	Sucursal 16	Av. Principal 16 # 144	sucursal16@banco.com	96433355	"-4.000448, -68.287248"
17	415		SUC-0017	Sucursal 17	Av. Principal 17 # 148	sucursal17@banco.com	93351325	"-11.98682, -78.045319"
18	1389		SUC-0018	Sucursal 18	Av. Principal 18 # 318	sucursal18@banco.com	93388029	"-14.948939, -73.254663"
19	1426		SUC-0019	Sucursal 19	Av. Principal 19 # 181	sucursal19@banco.com	92947713	"-12.414001, -78.847159"
20	1578		SUC-0020	Sucursal 20	Av. Principal 20 # 663	sucursal20@banco.com	99119641	"-12.684255, -68.095983"
21	1740		SUC-0021	Sucursal 21	Av. Principal 21 # 522	sucursal21@banco.com	96385952	"-5.681902, -72.574543"
22	1661		SUC-0022	Sucursal 22	Av. Principal 22 # 985	sucursal22@banco.com	95588754	"-7.92051, -69.973827"
23	1845		SUC-0023	Sucursal 23	Av. Principal 23 # 813	sucursal23@banco.com	99298041	"-14.214565, -78.295888"
24	535		SUC-0024	Sucursal 24	Av. Principal 24 # 798	sucursal24@banco.com	97437717	"-16.460221, -75.376523"
25	1731		SUC-0025	Sucursal 25	Av. Principal 25 # 375	sucursal25@banco.com	99342288	"-8.385329, -70.074368"
26	723		SUC-0026	Sucursal 26	Av. Principal 26 # 639	sucursal26@banco.com	96554547	"-10.121633, -69.773452"
27	722		SUC-0027	Sucursal 27	Av. Principal 27 # 935	sucursal27@banco.com	93088841	"-9.308675, -75.8007"
28	198		SUC-0028	Sucursal 28	Av. Principal 28 # 137	sucursal28@banco.com	93871268	"-4.04669, -76.3939"
29	1708		SUC-0029	Sucursal 29	Av. Principal 29 # 396	sucursal29@banco.com	91057511	"-17.304756, -75.583721"
30	249		SUC-0030	Sucursal 30	Av. Principal 30 # 757	sucursal30@banco.com	99945097	"-5.831784, -70.391142"
31	1386		SUC-0031	Sucursal 31	Av. Principal 31 # 670	sucursal31@banco.com	92298277	"-7.55603, -71.32816"
32	1565		SUC-0032	Sucursal 32	Av. Principal 32 # 673	sucursal32@banco.com	94948679	"-14.940096, -72.63405"
33	1262		SUC-0033	Sucursal 33	Av. Principal 33 # 570	sucursal33@banco.com	99160670	"-4.579196, -70.420837"
34	635		SUC-0034	Sucursal 34	Av. Principal 34 # 100	sucursal34@banco.com	99314971	"-12.563349, -69.307917"
35	1145		SUC-0035	Sucursal 35	Av. Principal 35 # 661	sucursal35@banco.com	94986036	"-13.662701, -73.862974"
36	1195		SUC-0036	Sucursal 36	Av. Principal 36 # 140	sucursal36@banco.com	97899078	"-17.197364, -76.271018"
